[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3911034787.11489,12/06/2023,2:33 pm
BYAPP,MPMS3 w/ AC,1.0,1.1
INFO,MPMS3 Measurement Release 1.1.16 Build 431, MultiVu Release 2.3.4.19,APPNAME
INFO,Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 E1,MOTOR_HW_VERSION
INFO,MMC275,MOTOR_SERIAL_NUMBER
INFO,01.04.28,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design Squid Module,SQUID_MODULE_NAME
INFO,3101-501 B0,SQUID_HW_VERSION
INFO,SQM006,SQUID_SERIAL_NUMBER
INFO,01.03.04,SQUID_SOFTWARE_VERSION
INFO,Quantum Design VSM Oven,OVEN_MODULE_NAME
INFO,3101-201 A0,OVEN_HW_VERSION
INFO,OVB098,OVEN_SERIAL_NUMBER
INFO,01.07.07,OVEN_SOFTWARE_VERSION
INFO,SQUID AC,AC_MODULE_NAME
INFO,3101-401 F1,AC_HW_VERSION
INFO,SAC033,AC_SERIAL_NUMBER
INFO,SQUID AC 00.94.06,AC_SOFTWARE_VERSION
INFO,TCI069,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,Fe2O3 0 deg MC Thick,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Quartz,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,65.56,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3911035774.50223,200.15975189209,11389.796875,-0.000201529328983124,1.59880919914869E-8,1,4,13.9012460708618,5.00671740640557,-0.549999997019768,-0.2424902670662,-0.0365070256907044,1,5.85372777415502E-7,,,,,,,,,,,,,,,,,,,,,200.155838012695,200.163665771484,11389.796875,11389.796875,52.2073136849863,5.6145678182741,6.00720357894897,56,1,0,0,1,0.30853271484375,28.3479976654053,1,1,1,200.155838012695,0,200.15975189209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3911035816.4609,200.207717895508,10655.412109375,-0.000188546706293861,1.89800065887754E-8,1,4,13.9012460708618,5.00672131147206,-0.549999997019768,-0.226875217266111,-0.0341158647349767,1,5.80419602734218E-7,,,,,,,,,,,,,,,,,,,,,200.207717895508,200.207717895508,10655.412109375,10655.412109375,52.1948076286786,5.61440886958875,5.99855947494507,56,1,0,0,1,0.307159423828125,28.8367557525635,1,1,1,200.207717895508,0,200.207717895508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3911035837.7572,200.280944824219,9945.3857421875,-0.000175920291420036,1.54162847141008E-8,1,4,13.9012460708618,5.00673023391742,-0.549999997019768,-0.211679834201489,-0.0318492349452693,1,5.26643709632828E-7,,,,,,,,,,,,,,,,,,,,,200.279556274414,200.282333374023,9945.3857421875,9945.3857421875,52.1713587731017,5.61433200666407,6.00514316558838,56,1,0,0,1,0.3082275390625,28.3479976654053,1,1,1,200.279556274414,0,200.280944824219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3911035861.6418,200.215423583984,9259.6083984375,-0.000163705127342579,1.39910554369965E-8,1,4,13.9012460708618,5.006707161226,-0.549999997019768,-0.196967932232062,-0.0297187760361769,1,4.22553191877115E-7,,,,,,,,,,,,,,,,,,,,,200.208404541016,200.222442626953,9259.6083984375,9259.6083984375,52.1330589756594,5.61410025537441,5.99683380126953,56,1,0,0,1,0.307769775390625,28.8367557525635,1,1,1,200.208404541016,0,200.215423583984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3911035885.19041,200.14868927002,8598.4931640625,-0.000151966123828482,1.72742034930233E-8,1,4,13.9012460708618,5.00670221280195,-0.549999997019768,-0.182846138122857,-0.0275701972997258,1,4.06769688469156E-7,,,,,,,,,,,,,,,,,,,,,200.143112182617,200.154266357422,8598.4931640625,8598.4931640625,52.1928535573805,5.61486283811195,5.99768209457398,56,1,0,0,1,0.309295654296875,28.3479976654053,1,1,1,200.143112182617,0,200.14868927002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3911035907.57554,200.098007202148,7961.63916015625,-0.000140652054968945,6.40139451897139E-8,1,4,13.9012460708618,5.00675046930116,-0.549999997019768,-0.169219744971911,-0.0256192961418273,1,2.92186352118193E-7,,,,,,,,,,,,,,,,,,,,,200.094604492187,200.101409912109,7961.63916015625,7961.63916015625,52.2616368670728,5.61395455570975,6.00620269775391,56,1,0,0,1,0.30975341796875,28.3479976654053,1,1,1,200.094604492187,0,200.098007202148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3911035930.47185,200.196533203125,7349.65380859375,-0.000129790030673126,1.63866222091371E-8,1,4,13.9012460708618,5.00677385668846,-0.549999997019768,-0.156167421272615,-0.0235442568993108,1,3.50033550378666E-7,,,,,,,,,,,,,,,,,,,,,200.194717407227,200.198348999023,7349.65380859375,7349.65380859375,52.2377971972363,5.61444605430621,6.0001711845398,56,1,0,0,1,0.309219360351562,28.8367557525635,1,1,1,200.198348999023,0,200.196533203125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3911035952.25857,200.268203735352,6761.8935546875,-0.00011934842949552,1.4190741234723E-8,1,4,13.9012460708618,5.00673870806218,-0.549999997019768,-0.143599302689215,-0.021669697886022,1,3.05419642987943E-7,,,,,,,,,,,,,,,,,,,,,200.266677856445,200.269729614258,6761.8935546875,6761.8935546875,52.1416568893709,5.61425873257901,6.00117683410644,56,1,0,0,1,0.308609008789063,28.3479976654053,1,1,1,200.266677856445,0,200.268203735352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3911035974.02567,200.212295532227,6198.73388671875,-0.000109332447246347,1.49138825913842E-8,1,4,13.9012460708618,5.00670536409385,-0.549999997019768,-0.131551438429179,-0.0198213825309246,1,3.04366448569007E-7,,,,,,,,,,,,,,,,,,,,,200.206115722656,200.218475341797,6198.73388671875,6198.73388671875,52.1576802740151,5.61450460209739,5.9954514503479,55,1,68,0,0,0.307846069335937,28.3479976654053,1,1,1,200.206115722656,0,200.212295532227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3911035994.65706,200.215721130371,5659.98193359375,-9.97751906107638E-5,1.21140916592272E-8,1,4,13.9012460708618,5.00673060703757,-0.549999997019768,-0.120046798316537,-0.0181277232587832,1,2.45424172914348E-7,,,,,,,,,,,,,,,,,,,,,200.213104248047,200.218338012695,5659.98193359375,5659.98193359375,52.1979341427555,5.6145985458253,5.99681282043457,56,1,0,0,1,0.308303833007812,28.3479976654053,1,1,1,200.213104248047,0,200.215721130371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3911036015.36655,200.297393798828,5145.7822265625,-9.06445747221289E-5,1.28039411655836E-8,1,4,13.9012460708618,5.00674262894785,-0.549999997019768,-0.109062924801117,-0.0164593233471547,1,2.30908128949354E-7,,,,,,,,,,,,,,,,,,,,,200.297134399414,200.297653198242,5145.7822265625,5145.7822265625,52.1307140901017,5.61465938556407,5.99713182449341,56,1,0,0,1,0.308151245117188,28.3479976654053,1,1,1,200.297134399414,0,200.297393798828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3911036035.97338,200.38663482666,4655.80810546875,-8.1940640732911E-5,1.24980749844805E-8,1,4,13.9012460708618,5.00672195652304,-0.549999997019768,-0.0985892569495966,-0.0148825564027867,1,2.05586406434323E-7,,,,,,,,,,,,,,,,,,,,,200.386077880859,200.387191772461,4655.80810546875,4655.80810546875,52.1987157712748,5.61476283326973,5.99411153793335,56,1,0,0,1,0.308074951171875,28.3479976654053,1,1,1,200.386077880859,0,200.38663482666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
